label,record
N,100
N,100
N,100
N,100
N,100
N,100
A,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
A,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
A,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
A,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
A,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
A,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
N,100
